id,name_ko,sector,ko_sum,ko_med
11st,11번가,유통·이커머스,5872,4686
kumho-tire,금호타이어,자동차·모빌리티,5563,4656
mirae-asset-securities,미래에셋증권,금융,5557,4626
mlb-fnf,MLB,패션·럭셔리,14627,4577
dongsuh-foods,동서식품,식음료,5460,4542
etihad-airways,에티하드항공,여행·항공·호텔,5538,4410
asics,아식스,스포츠·아웃도어,4454,4386
monster-beverage,몬스터에너지,식음료,4452,4308
razer,레이저,전자·IT,4433,4296
system,시스템,패션·럭셔리,4293,4188
taylormade,테일러메이드,스포츠·아웃도어,3968,4152
crocs,크록스,패션·럭셔리,5171,4152
land-rover,랜드로버,자동차·모빌리티,4093,4122
omega,오메가,시계·주얼리,14127,4107
luckin-coffee,루이싱커피,외식,4142,4104
adidas,아디다스,스포츠·아웃도어,3974,3990
shangri-la,샹그릴라,여행·항공·호텔,4736,3978
bayer,바이엘,제약·헬스케어,3945,3972
ford,포드,자동차·모빌리티,3895,3966
nexen-tire,넥센타이어,자동차·모빌리티,4196,3966
spam,스팸,식음료,4981,3942
chevrolet,쉐보레,자동차·모빌리티,4077,3930
maison-kitsune,메종 키츠네,패션·럭셔리,3875,3930
andar,안다르,스포츠·아웃도어,4785,3924
mega-coffee,메가커피,외식,9515,3912
hanssem,한샘,생활·가구·완구,3803,3876
compose-coffee,컴포즈커피,외식,4075,3870
maeil-dairies,매일유업,식음료,4448,3858
